_id,name,slug,parent_category
68dd56b38d5c1dd8f9cf5c6d,https://www.lottemart.vn/vi-nsg/category/ba-chi-c277,ba-chi,Ba Chỉ,68dd56a18d5c1dd8f9cf5c6b,2025-10-01T16:28:35.663Z,2025-10-01T16:28:35.663Z
68dd56b38d5c1dd8f9cf5c6e,https://www.lottemart.vn/vi-nsg/category/thit-suon-c278,thit-suon,Thịt Sườn,68dd56a18d5c1dd8f9cf5c6b,2025-10-01T16:28:35.663Z,2025-10-01T16:28:35.663Z
68dd56b38d5c1dd8f9cf5c6f,https://www.lottemart.vn/vi-nsg/category/thit-xay-dui-vai-nac-c279,thit-xay-dui-vai-nac,"Thịt Xay, Đùi, Vai, Nạc",68dd56a18d5c1dd8f9cf5c6b,2025-10-01T16:28:35.663Z,2025-10-01T16:28:35.663Z
68dd56b38d5c1dd8f9cf5c70,https://www.lottemart.vn/vi-nsg/category/xuong-c280,xuong,Xương,68dd56a18d5c1dd8f9cf5c6b,2025-10-01T16:28:35.663Z,2025-10-01T16:28:35.663Z
68dd56b38d5c1dd8f9cf5c71,https://www.lottemart.vn/vi-nsg/category/chan-gio-c282,chan-gio,Chân Giò,68dd56a18d5c1dd8f9cf5c6b,2025-10-01T16:28:35.663Z,2025-10-01T16:28:35.663Z
68dd56b38d5c1dd8f9cf5c72,https://www.lottemart.vn/vi-nsg/category/thit-heo-khac-c283,thit-heo-khac,Thịt Heo Khác,68dd56a18d5c1dd8f9cf5c6b,2025-10-01T16:28:35.663Z,2025-10-01T16:28:35.663Z
68dd56ff8d5c1dd8f9cf5c73,https://www.lottemart.vn/vi-nsg/category/phi-le-uc-c616,phi-le-uc,"Phi Lê, Ức",68dd56a18d5c1dd8f9cf5c6a,2025-10-01T16:29:51.700Z,2025-10-01T16:29:51.700Z
68dd56ff8d5c1dd8f9cf5c74,https://www.lottemart.vn/vi-nsg/category/canh-chan-c617,canh-chan,"Cánh, Chân",68dd56a18d5c1dd8f9cf5c6a,2025-10-01T16:29:51.701Z,2025-10-01T16:29:51.701Z
68dd56ff8d5c1dd8f9cf5c75,https://www.lottemart.vn/vi-nsg/category/dui-ma-dui-c618,dui-ma-dui,"Đùi, Má Đùi",68dd56a18d5c1dd8f9cf5c6a,2025-10-01T16:29:51.701Z,2025-10-01T16:29:51.701Z
68dd56ff8d5c1dd8f9cf5c76,https://www.lottemart.vn/vi-nsg/category/xuong-c619,xuong,Xương,68dd56a18d5c1dd8f9cf5c6a,2025-10-01T16:29:51.701Z,2025-10-01T16:29:51.701Z
68dd56ff8d5c1dd8f9cf5c77,https://www.lottemart.vn/vi-nsg/category/thit-ga-khac-c620,thit-ga-khac,Thịt Gà Khác,68dd56a18d5c1dd8f9cf5c6a,2025-10-01T16:29:51.701Z,2025-10-01T16:29:51.701Z
